1694329733 : 61.1  0.2 npm run task-2
1694329743 : 72.2  1.0 /System/Library/CoreServices/Software Update.app/Contents/Resources/softwareupdated
1694329753 : 100.5  1.0 /System/Library/CoreServices/Software Update.app/Contents/Resources/softwareupdated
1694329768 : 91.1  1.0 /System/Library/CoreServices/Software Update.app/Contents/Resources/softwareupdated
1694329778 : 6.5  6.2 /Applications/WebStorm.app/Contents/MacOS/webstorm
1694329788 : 15.9  6.2 /Applications/WebStorm.app/Contents/MacOS/webstorm
1694329798 : 33.4  6.2 /Applications/WebStorm.app/Contents/MacOS/webstorm
1694329808 : 15.9  6.2 /Applications/WebStorm.app/Contents/MacOS/webstorm
1694329818 : 4.8  0.4 /System/Library/PrivateFrameworks/SkyLight.framework/Resources/WindowServer
1694329828 : 7.2  0.0 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared
1694329838 : 7.3  6.2 /Applications/WebStorm.app/Contents/MacOS/webstorm
1694329848 : 35.9  0.4 opswat-gears-od
